gloss,spoken,form
지난달 많다 일 있다 .,지난달에는 많은 일이 있었어,b
도쿄 타워 전망 최고 있다 .,도쿄 타워에서의 전망은 최고였어.,
복장 규정 있다 ?,복장 규정 있어?,
당신 견해 알다 주다 좋다 .,당신의 견해를 알려주면 좋겠어.,
나 이사 고민 중이다 .,나 이사를 고민 중이야.,
학교 어떻게 지내다 ?,학교에서 어떻게 지냈어?,
아이 요리 하다 시간 좋다 .,아이들과 요리하는 시간이 좋아.,
물 마시다 가다 시간 있다 ?,물 마시러 갈 시간 있을까?,
영상 버퍼링 되다 보기 힘들다 .,영상이 버퍼링 돼서 보기 힘들어.,
스웨덴 국립박물관 역사 배우다 .,스웨덴의 국립박물관에서 역사를 배웠어.,
사회생활 잘하다 위해 이해심 필요하다 .,사회생활을 잘하기 위해서는 이해심이 필요해.,
캠핑 장비 준비 끝 ?,캠핑 장비 다 준비했어?,
저기 무엇 먹다 곳 있다 ?,저기 뭐 먹는 곳 있어?,
요즘 새로 시작하다 취미 재미있다 .,요즘 새로 시작한 취미가 재미있어.,
나 주말 부모님 만나다 가다 .,나 주말에 부모님 만나러 갈 거야.,
아이 숫자 세다 배우다 .,아이가 숫자 세는 것을 배웠어.,
내 수하물 무겁다 초과료 내다 되다 .,내 수하물 무거워서 초과료 내야 돼.,
신입사원 교육 언제 ?,신입사원 교육 언제야?,
요즘 바쁘다 힘들다 .,요즘 너무 바빠서 힘들어.,
3일 동안 비 오다 같다 .,3일 동안 비가 올 것 같아,
어제 무엇 하다 ?,어제 뭐 했어?,
파란 새 창밖 앉다 있다 .,파란 새가 창밖에 앉아 있어,
나 해산물 좋아하다 않다 .,나는 해산물을 좋아하지 않아.,
접속 오류 생기다 .,접속 오류 생겼어.,
아이 동물원 가다 오다 .,아이들과 동물원에 갔다왔어.,
매월 첫 주 모임 있다 .,매월 첫째 주에는 모임이 있어,
아빠 나 산책 하다 .,아빠가 나와 함께 산책하자고 했어.,
그 게임 화면 티어링 있다 ?,그 게임 화면 티어링 있어?,
만화 러브라인 인상적 .,만화 속 러브라인이 가장 인상적이었어.,
캐나다 국립공원 야생동물 관찰하다 .,캐나다의 국립공원에서는 야생동물을 관찰했어.,
다시 너 연락 안하다 .,다시는 너한테 연락 안 할 거야.,
동생 언제 오다 ?,동생이 언제 돌아와?,
몰디브 투명하다 바다 스노클링 즐기다 .,몰디브의 투명한 바다에서 스노클링을 즐겼어.,
너 때문 망치다 .,너 때문에 다 망쳤어.,
주말 까지 기다리다 되다 .,주말까지 기다려야 해,
내일 수업 없다 학교 안 가다 .,내일 수업이 없어서 학교 안 가도 돼.,
나 골드스미스 수업 듣다 있다 .,나는 골드스미스 수업을 듣고 있어.,
그 회사 파산 위기 .,그 회사는 파산 위기야.,
이번 주말 집 쉬다 있다 .,이번 주말에는 집에서 쉬려고.,
유튜브 스튜디오 분석 데이터 확인 중 .,유튜브 스튜디오에서 분석 데이터 확인 중이야.,
기말고사 후 학교 휴일 있다 .,기말고사 후에는 학교 휴일이야.,
동생 내 옷 빌리다 하다 .,동생이 내 옷을 빌려달라고 했어.,
사회생활 관계 관리 어렵다 .,사회생활에서의 관계 관리는 어려워.,
우체국 보내다 편지 언제 도착하다 ?,우체국에서 보낸 편지는 언제 도착하나?,
출근 시간 몇 시 ?,출근 시간 몇 시야?,
마라탕 어떤 재료 들어가다 ?,마라탕에는 어떤 재료가 들어가?,
