GKSL,WKL,GKSL_encoded,WKL_encoded
가능,난 할 수 있다,"[2, 737, 3]","[2, 1406, 4977, 2872, 3862, 3]"
나 가능 일 무엇 ?,내가 할 수 있는 일이 뭐가 있을까?,"[2, 1370, 737, 3803, 2095, 6884, 633, 3]","[2, 1435, 4977, 2872, 3860, 3818, 2145, 5330, 3881, 258, 3]"
오늘 만나다 가능,오늘 만날 수 있어,"[2, 3419, 1933, 5782, 737, 3]","[2, 3419, 1935, 2872, 3868, 3]"
가르치다,가르치다,"[2, 749, 7483, 5782, 3]","[2, 749, 7483, 5782, 3]"
남자 여자 운전 방법 가르치다 주다,남자는 여자에게 운전을 가르쳤다,"[2, 1423, 3318, 3520, 2270, 749, 7483, 5782, 4213, 5782, 3]","[2, 1423, 5760, 3318, 6897, 3520, 7088, 749, 7445, 3]"
남자 아기 1 가르치다 10 이해 가능,남자아이는 하나를 가르치면 열을 알았다,"[2, 1423, 3093, 5561, 529, 749, 7483, 5782, 533, 3752, 737, 3]","[2, 1423, 6804, 5760, 4928, 6116, 749, 7483, 6198, 3358, 7088, 3166, 6828, 3]"
선생님 나 기술 가르치다,선생님이 나에게 기술을 가르쳐주셨다,"[2, 2752, 1370, 1289, 749, 7483, 5782, 3]","[2, 2752, 7096, 1370, 6897, 1289, 7088, 749, 7443, 7276, 6604, 5782, 3]"
선생님 학생 뜨겁다 마음 가르치다 열심히,선생님이 학생에게 열정으로 가르치고 있다,"[2, 2752, 4952, 517, 5991, 5397, 5782, 1917, 749, 7483, 5782, 3367, 3]","[2, 2752, 7096, 4952, 6897, 3372, 7078, 749, 7484, 3862, 3]"
미래 학생 가르치다 고민 많다,앞으로 학생들을 어떻게 가르쳐야 할지 난감하다,"[2, 2155, 4952, 749, 7483, 5782, 1002, 1951, 3]","[2, 3192, 4953, 7088, 3225, 749, 7443, 6844, 4977, 7318, 1406, 5341, 7798, 3]"
같다,같다,"[2, 831, 3]","[2, 831, 3]"
너 나 피 귀잡다 같다,너랑 나는 혈액형이 똑같다,"[2, 1457, 1370, 4909, 1174, 7176, 5782, 831, 3]","[2, 1457, 6022, 1375, 5069, 6835, 7921, 7096, 1865, 5782, 3]"
비 같다 아마,비가 올 것 같다,"[2, 2514, 831, 3093, 6141, 3]","[2, 2515, 3439, 905, 831, 3]"
언니 성격 불 같다 화 많다,언니는 성격이 불같다,"[2, 3241, 5770, 2782, 2485, 831, 5112, 1951, 3]","[2, 3241, 5770, 5760, 2782, 7096, 2485, 5354, 5782, 3]"
우리 둘 학교 같다,우리는 같은 학교에 다닌다,"[2, 3501, 1779, 4949, 831, 3]","[2, 3504, 833, 4949, 6896, 1562, 5776, 5782, 3]"
친구 감기 전염 같다,친구한테 감기 옮은 것 같다,"[2, 4627, 784, 5561, 4012, 6941, 831, 3]","[2, 4627, 7835, 784, 5561, 517, 6976, 7086, 905, 831, 3]"
춥다,춥다,"[2, 517, 7470, 5782, 3]","[2, 517, 7470, 5782, 3]"
날 춥다 따뜻하다 입다 가다,날이 추우니 따뜻하게 입고 가,"[2, 1407, 517, 7470, 5782, 1833, 5997, 7798, 3836, 5782, 517, 5330, 5782, 3]","[2, 1407, 7096, 4541, 7005, 5770, 1833, 5997, 7784, 3838, 517, 5330, 3]"
너무 춥다,너무 추워,"[2, 1458, 517, 7470, 5782, 3]","[2, 1458, 4541, 7018, 3]"
너무 춥다 옷 두껍다 입다,너무 추워서 옷을 두껍게 입었다,"[2, 1458, 517, 7470, 5782, 3454, 1773, 5608, 5782, 3836, 5782, 3]","[2, 1458, 4541, 7018, 6553, 3454, 7088, 1773, 5608, 5400, 3836, 6888, 3]"
밖 춥다 나오다 하지마 집 계시다,밖은 추우니 나오지 말고 집에 있어,"[2, 517, 6284, 517, 7470, 5782, 1388, 5782, 4945, 6141, 4384, 980, 6705, 5782, 3]","[2, 517, 6284, 7086, 4541, 7005, 5770, 1388, 7318, 1958, 5439, 4384, 6896, 3868, 3]"
어제 -보다 오늘 춥다 아니다,어제보다 오늘이 춥지 않다,"[2, 3238, 524, 6371, 3419, 517, 7470, 5782, 3100, 3]","[2, 3238, 6371, 3419, 7096, 517, 7470, 7318, 3153, 3]"
계획,계획,"[2, 990, 3]","[2, 990, 3]"
계획 바꾸다 끝,계획을 수정했다,"[2, 990, 2187, 5782, 1363, 3]","[2, 991, 2901, 7869, 3]"
계획 만들다,계획을 짜다,"[2, 990, 1940, 5782, 3]","[2, 991, 4396, 5782, 3]"
계획 보류 자연 미루다,계획이 보류되어 미루게 되었다,"[2, 990, 2355, 6107, 3916, 2149, 6095, 5782, 3]","[2, 990, 7096, 2355, 6107, 5894, 2149, 6095, 5400, 517, 5896, 3]"
계획 끝 일 오늘 시작,계획했던 일을 실천했다,"[2, 990, 1363, 3803, 3419, 2986, 3]","[2, 990, 7872, 3817, 3053, 7869, 3]"
매일 아침 운동 계획 만들다,매일 아침 운동하기로 계획하였다,"[2, 1996, 3130, 3514, 990, 1940, 5782, 3]","[2, 1996, 3130, 3514, 7791, 990, 7782, 6946, 3]"
공부,공부가 가장 쉬웠어요,"[2, 1042, 3]","[2, 1042, 5330, 760, 2923, 7036, 6857, 3]"
공부 끝,공부를 마치다,"[2, 1042, 1363, 3]","[2, 1042, 6116, 1923, 5782, 3]"
공부 잘하다,공부를 잘하다,"[2, 1042, 3942, 7798, 3]","[2, 1042, 6116, 3942, 7798, 3]"
공부 싫다,공부하기 싫다,"[2, 1042, 517, 6744, 5782, 3]","[2, 1042, 7789, 517, 6744, 5782, 3]"
열심히 공부,열심히 공부해,"[2, 3367, 1042, 3]","[2, 3367, 1042, 7848, 3]"
학생 맡다 무엇 공부,학생은 공부를 해야한다,"[2, 4952, 1980, 5782, 2095, 6884, 1042, 3]","[2, 4952, 7086, 1042, 6116, 5010, 7831, 3]"
괜찮다,괜찮다,"[2, 1100, 5782, 3]","[2, 1100, 5782, 3]"
내일 괜찮다 아마,내일이면 괜찮겠지,"[2, 1434, 7126, 1100, 5782, 3093, 6141, 3]","[2, 1434, 7126, 7096, 6198, 1100, 5405, 7318, 3]"
몸 괜찮다 ?,몸은 괜찮아?,"[2, 2084, 1100, 5782, 633, 3]","[2, 2084, 7086, 1100, 6797, 258, 3]"
상처 심하다 아니다 괜찮다,상처가 깊지 않으니까 괜찮아,"[2, 2679, 3060, 7798, 3100, 1100, 5782, 3]","[2, 2679, 5330, 517, 5590, 7318, 3160, 5771, 1100, 6797, 3]"
어제 몸 아프다 오늘 괜찮다,어제 아팠는데 지금은 괜찮아,"[2, 3238, 2084, 3093, 7753, 5782, 3419, 1100, 5782, 3]","[2, 3238, 3093, 7694, 5761, 4301, 1100, 6797, 3]"
처음 가다 먹다 괜찮다,처음 가본 그 집 음식맛이 괜찮았다,"[2, 4468, 517, 5330, 5782, 2010, 5782, 1100, 5782, 3]","[2, 4468, 517, 5330, 6383, 1185, 4384, 3609, 6164, 7096, 1100, 6828, 3]"
궁금하다,궁금하다,"[2, 1169, 7798, 3]","[2, 1169, 7798, 3]"
결과 무엇 너무 궁금하다,결과가 어떻게 되었는지 정말 궁금하다,"[2, 938, 2095, 6884, 1458, 1169, 7798, 3]","[2, 938, 5330, 3225, 517, 5895, 5760, 7318, 4102, 1169, 7798, 3]"
나 대하여 소문 무엇 궁금하다,나에 대한 소문이 궁금하다,"[2, 1370, 1633, 7815, 2822, 6234, 2095, 6884, 1169, 7798, 3]","[2, 1370, 6896, 1682, 2822, 6234, 7096, 1169, 7798, 3]"
너 마음 궁금,네 생각이 궁금해,"[2, 1457, 1917, 1169, 3]","[2, 1469, 2707, 1169, 7848, 3]"
애인 무엇 궁금하다,애인이 뭐하는지 궁금하다,"[2, 3194, 7119, 2095, 6884, 1169, 7798, 3]","[2, 3194, 7119, 7096, 2145, 7794, 7318, 1169, 7798, 3]"
귀찮다,귀찮다,"[2, 1174, 7396, 5782, 3]","[2, 1174, 7396, 5782, 3]"
귀찮다 말하다 일 하다,귀찮다면서 할건 다하네,"[2, 1174, 7396, 5782, 1958, 7798, 3803, 4932, 3]","[2, 1174, 7396, 5782, 6199, 4977, 5384, 1562, 7782, 5702, 3]"
너무 귀찮다,너무 귀찮다,"[2, 1458, 1174, 7396, 5782, 3]","[2, 1458, 1174, 7396, 5782, 3]"
몸 아프다 원인 모두 귀찮다,몸이 아파서 다 귀찮다,"[2, 2084, 3093, 7753, 5782, 3538, 2047, 1174, 7396, 5782, 3]","[2, 2084, 7096, 3093, 7682, 6553, 1562, 1174, 7396, 5782, 3]"
일 귀찮다,일하기 귀찮아,"[2, 3803, 1174, 7396, 5782, 3]","[2, 3803, 7789, 1174, 7396, 6797, 3]"
청소 귀찮다,청소하기 귀찮아,"[2, 4483, 6607, 1174, 7396, 5782, 3]","[2, 4483, 6607, 7789, 1174, 7396, 6797, 3]"
기다리다,기다리다,"[2, 1266, 5782, 3]","[2, 1266, 5782, 3]"
1시간 기다리다 오다 강하다 ?,1시간 기다렸는데 왜 안와?,"[2, 529, 6706, 1266, 5782, 3417, 5782, 807, 7798, 633, 3]","[2, 529, 6706, 1258, 5782, 6072, 5761, 3466, 3135, 6983, 258, 3]"
기다리다 -봐,기다려봐,"[2, 1266, 5782, 524, 6393, 3]","[2, 1258, 5782, 6060, 6393, 3]"
기다리다 지루하다,기다리다가 지쳤어,"[2, 1266, 5782, 4297, 6095, 7798, 3]","[2, 1266, 5782, 5330, 4297, 7444, 6855, 3]"
버스 오다 기다리다 되다,버스가 오기를 기다려야 한다,"[2, 2305, 3417, 5782, 1266, 5782, 1763, 5782, 3]","[2, 2305, 5330, 3417, 5573, 1258, 5782, 6060, 6844, 4965, 3]"
장소 기다리다,여기서 기다려,"[2, 3962, 1266, 5782, 3]","[2, 3301, 6553, 1258, 5782, 6060, 3]"
기억,기억,"[2, 1291, 3]","[2, 1291, 3]"
기억 모두 잊다 부탁,그 기억들은 깨끗이 잊어라,"[2, 1291, 2047, 517, 7145, 5782, 2458, 3]","[2, 1185, 1291, 5937, 1343, 7096, 517, 7145, 6855, 6003, 3]"
기억,기억하고 있니,"[2, 1291, 3]","[2, 1291, 7788, 3854, 5770, 3]"
아빠 일 생기다 모두 기억,아버지는 그 일을 기억하고 계셨다,"[2, 3114, 3803, 2710, 5782, 2047, 1291, 3]","[2, 3112, 5760, 1185, 3817, 1291, 7788, 980, 6604, 5782, 3]"
예전 일 모두 기억,오래전의 일을 기억하다,"[2, 3412, 3803, 2047, 1291, 3]","[2, 3422, 7207, 7095, 3817, 1291, 7798, 3]"
예전 일 때문에 기억 애매,오래전 일이라 좀처럼 기억나지 않는다,"[2, 3412, 3803, 1849, 1291, 3194, 6168, 3]","[2, 3422, 7207, 3818, 6003, 4196, 7417, 1291, 5655, 7318, 3152, 3]"
크다,크다,"[2, 4684, 3]","[2, 4684, 3]"
눈 크다,눈이 크다,"[2, 1535, 4684, 3]","[2, 1535, 7096, 4684, 3]"
소리 커,소리가 너무 커,"[2, 2829, 4652, 3]","[2, 2829, 5330, 1458, 4652, 3]"
손 크다 대단하다,손이 정말 크다,"[2, 2860, 4684, 1641, 7798, 3]","[2, 2860, 7096, 4102, 4684, 3]"
옷 크다 입다 불가능,옷이 너무 커서 입을 수 없다,"[2, 3454, 4684, 3836, 5782, 2486, 3]","[2, 3454, 7096, 1458, 4652, 6553, 3836, 7088, 2872, 3273, 3]"
집 크다 놀라다,집이 커서 놀라웠다,"[2, 4384, 4684, 1505, 5782, 3]","[2, 4384, 7096, 4652, 6553, 1505, 7037, 3]"
작다,작다,"[2, 3930, 5782, 3]","[2, 3930, 5782, 3]"
글 작다 보다 어렵다,글씨가 작아서 잘 안보인다,"[2, 1231, 3930, 5782, 2368, 3232, 3]","[2, 1231, 6786, 3930, 6797, 6553, 3942, 3137, 7119, 5782, 3]"
음성 작다 안들리다,목소리가 작아서 잘 안들린다,"[2, 3608, 3930, 5782, 3135, 5931, 6122, 5782, 3]","[2, 2074, 3930, 6797, 6553, 3942, 3135, 5931, 6134, 3]"
손 작다,손이 작다,"[2, 2860, 3930, 5782, 3]","[2, 2860, 7096, 3930, 5782, 3]"
언니 발 너무 작다,언니는 발이 유난히 작다,"[2, 3241, 5770, 2235, 1458, 3930, 5782, 3]","[2, 3241, 5770, 5760, 2235, 7096, 3574, 5663, 7996, 3930, 5782, 3]"
키 작다 힘 세다,키는 작아도 힘은 세다,"[2, 4693, 3930, 5782, 5211, 2801, 5782, 3]","[2, 4693, 5760, 3930, 6797, 5859, 5211, 7086, 2801, 5782, 3]"
있다,있다,"[2, 3862, 3]","[2, 3862, 3]"
나 돈 1000 있다,나에게 1000원이 있다,"[2, 1370, 1730, 537, 3862, 3]","[2, 1370, 6897, 537, 7027, 3862, 3]"
나 남편 자녀 있다,나에게는 남편과 자식들이 있다,"[2, 1370, 1425, 3891, 3862, 3]","[2, 1370, 6898, 1425, 5468, 3886, 6730, 5940, 3862, 3]"
저기 방 안에 사람 있다,저방에 사람이 있어,"[2, 3990, 5561, 2267, 3138, 2584, 3862, 3]","[2, 3990, 6305, 6896, 2589, 3868, 3]"
좋다 방법 있다 아마,좋은 방법이 있을거야,"[2, 4206, 2270, 3862, 3093, 6141, 3]","[2, 4209, 2270, 7096, 3880, 5377, 6844, 3]"
좋다 일 있다 아마,좋은 일이 있을거야,"[2, 4206, 3803, 3862, 3093, 6141, 3]","[2, 4209, 3818, 3880, 5377, 6844, 3]"
없다,없다,"[2, 3273, 3]","[2, 3273, 3]"
돈 없다,돈이 없다,"[2, 1730, 3273, 3]","[2, 1730, 7096, 3273, 3]"
방법 없다,방법이 없어,"[2, 2270, 3273, 3]","[2, 2270, 7096, 3278, 3]"
방 -안에 사람 없다,방안에는 아무도 없다,"[2, 2267, 524, 6812, 6896, 2584, 3273, 3]","[2, 2279, 6900, 3111, 5859, 3273, 3]"
옷 없다 어떻게,입을 옷이 없어 막막해,"[2, 3454, 3273, 3225, 3]","[2, 3836, 7088, 3454, 7096, 3278, 1927, 6149, 7848, 3]"
일 없다 심심하다,할 일이 없어서 심심하다,"[2, 3803, 3273, 3060, 6745, 7798, 3]","[2, 4977, 3818, 3278, 6553, 3060, 6745, 7798, 3]"
힘들다,힘들다,"[2, 5213, 5782, 3]","[2, 5213, 5782, 3]"
몸 힘들다 마음 편하다,몸은 힘들지만 마음을 편하다,"[2, 2084, 5213, 5782, 1917, 4832, 7798, 3]","[2, 2084, 7086, 5213, 7330, 1918, 4832, 7798, 3]"
걷다 오래 힘들다,오래 걸었더니 힘들다,"[2, 888, 5782, 3422, 5213, 5782, 3]","[2, 3422, 889, 6885, 5838, 5213, 5782, 3]"
일 너무 힘들다,일이 너무 힘들다,"[2, 3803, 1458, 5213, 5782, 3]","[2, 3818, 1458, 5213, 5782, 3]"
힘들다 그렇지만 참다 필요,힘들어도 참아야 한다,"[2, 5213, 5782, 1205, 6150, 4427, 5782, 4919, 3]","[2, 5213, 6855, 5859, 4427, 6797, 6844, 4965, 3]"
힘들다 쉬다 원하다,힘들어서 쉬고 싶다,"[2, 5213, 5782, 2923, 5782, 3533, 7798, 3]","[2, 5213, 6855, 6553, 2923, 5439, 3072, 3]"
먹다,먹다,"[2, 2010, 5782, 3]","[2, 2010, 5782, 3]"
배고프다 먹다 뭐 ?,배고파 뭐 먹을거야?,"[2, 2287, 5439, 7753, 5782, 2010, 5782, 2145, 633, 3]","[2, 2287, 5439, 7682, 2145, 2010, 7088, 5377, 6844, 258, 3]"
점심 먹다 끝,점심 먹었어,"[2, 4074, 6745, 2010, 5782, 1363, 3]","[2, 4074, 6745, 2010, 6885, 6855, 3]"
짜장 먹다 가다,짜장면 먹으러 갈래,"[2, 4396, 7178, 2010, 5782, 517, 5330, 5782, 3]","[2, 4396, 7178, 6198, 2010, 7074, 6037, 781, 6023, 3]"
초밥 먹다 위하다 일본 가다,초밥을 먹기 위해 일본에 갔다,"[2, 4501, 6304, 2010, 5782, 3552, 7798, 3809, 517, 5330, 5782, 3]","[2, 4501, 6304, 7088, 2010, 5561, 3567, 3809, 6896, 517, 5349, 3]"
닭 먹다 원하다,치킨 먹고 싶어,"[2, 517, 5796, 2010, 5782, 3533, 7798, 3]","[2, 4617, 7576, 2011, 3073, 3]"
미안,미안,"[2, 2149, 6812, 3]","[2, 2149, 6812, 3]"
때리다 미안,때려서 미안해,"[2, 1844, 6122, 5782, 2149, 6812, 3]","[2, 1844, 6060, 6553, 2149, 6812, 7848, 3]"
미안 잊다 듣다 못하다,미안해요 잠시 깜박했나봐요,"[2, 2149, 6812, 517, 7145, 5782, 1799, 5782, 2086, 7798, 3]","[2, 2149, 6812, 7848, 6999, 3946, 517, 5597, 6280, 7864, 5655, 6393, 6999, 3]"
상처 받다 미안,상처 받았다면 미안해,"[2, 2679, 2220, 5782, 2149, 6812, 3]","[2, 2679, 2230, 6198, 2149, 6812, 7848, 3]"
미안 다시 일 생기다 아니다 주의,죄송합니다 다신 이런 일이 없도록 주의하겠습니다.,"[2, 2149, 6812, 1574, 3803, 2710, 5782, 3100, 4213, 7095, 3]","[2, 4212, 6621, 7843, 1562, 6733, 3672, 3818, 3276, 4213, 7095, 7782, 5409, 54, 3]"
진짜 미안,진심으로 미안해,"[2, 4368, 2149, 6812, 3]","[2, 4360, 6745, 7078, 2149, 6812, 7848, 3]"
감사,감사,"[2, 793, 3]","[2, 793, 3]"
감사 마음 전하다 위하다 편지 쓰다,고마운 마음을 담아 편지를 준비했다,"[2, 793, 1917, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 1918, 1613, 4832, 7329, 4249, 7869, 3]"
그것 같다 생각 -면 감사,그렇게 생각해줘서 고마워,"[2, 1185, 5398, 831, 2705, 524, 6198, 793, 3]","[2, 1204, 2709, 7303, 6553, 993, 6141, 7018, 3]"
너 오다 그렇다면 감사,네가 와주면 고맙겠구나,"[2, 1457, 3417, 5782, 1185, 6049, 5784, 793, 3]","[2, 1469, 5330, 517, 6983, 7276, 6198, 993, 6163, 5405, 5496, 3]"
돕다본인 감사,도와줘서 고마워,"[2, 517, 5870, 5782, 6383, 7119, 793, 3]","[2, 1716, 7303, 6553, 993, 6141, 7018, 3]"
감사 잘 먹다,어머나 고마워요 잘 먹겠습니다,"[2, 793, 3942, 2010, 5782, 3]","[2, 3220, 6179, 5655, 993, 6141, 7018, 6999, 3942, 2010, 5409, 3]"
키우다,키우다,"[2, 4695, 5782, 3]","[2, 4695, 5782, 3]"
개 키우다,개를 키우다,"[2, 835, 4695, 5782, 3]","[2, 517, 5361, 4695, 5782, 3]"
여자 남편 없다 혼자 자녀 3 키우다,그녀는 남편없이 혼자 세 자녀를 키워냈다,"[2, 3318, 1425, 3273, 5102, 3891, 589, 4695, 5782, 3]","[2, 1190, 5760, 1425, 6883, 5102, 2801, 3891, 6116, 4696, 5687, 3]"
소 키우다,소를 키우다,"[2, 2822, 4695, 5782, 3]","[2, 2822, 6116, 4695, 5782, 3]"
아버지 키우다 했었다 소 팔다 학교 아들 보내다,아버지는 키우던 소를 팔아 아들을 학교에 보냈다,"[2, 3112, 4695, 5782, 517, 7875, 2822, 4814, 5782, 4949, 3107, 2363, 5782, 3]","[2, 3112, 5760, 4695, 5842, 2822, 6116, 4814, 6797, 3107, 7088, 4949, 6896, 2365, 3]"
어머니 자녀 독하다 키우다,우리 어머니는 자식들을 엄하게 키우셨다,"[2, 3236, 3891, 1725, 7798, 4695, 5782, 3]","[2, 3501, 3236, 5760, 3886, 6730, 5938, 3255, 7784, 4695, 6604, 5782, 3]"
포기,포기,"[2, 4857, 3]","[2, 4857, 3]"
나 너 포기 불가능,난 너를 포기할 수 없어,"[2, 1370, 1457, 4857, 2486, 3]","[2, 1406, 1457, 6116, 4857, 7836, 2872, 3278, 3]"
포기 원하다,포기하고 싶다,"[2, 4857, 3533, 7798, 3]","[2, 4857, 7788, 3072, 3]"
포기 마음 크다 그렇지만 참다 필요,포기하고 싶은 마음이 크지만 참아야 한다,"[2, 4857, 1917, 4684, 1205, 6150, 4427, 5782, 4919, 3]","[2, 4857, 7788, 3075, 1917, 7096, 4681, 7330, 4427, 6797, 6844, 4965, 3]"
포기 안되다,포기하면 안돼,"[2, 4857, 3135, 5886, 5782, 3]","[2, 4857, 7811, 3135, 5876, 3]"
포기 하지마,포기하지마,"[2, 4857, 4945, 6141, 3]","[2, 4857, 7819, 6141, 3]"
좋다,좋다,"[2, 4206, 3]","[2, 4206, 3]"
나 너 너무 좋다,난 네가 너무 좋아,"[2, 1370, 1457, 1458, 4206, 3]","[2, 1406, 1469, 5330, 1458, 4207, 3]"
날 좋다,날씨가 좋다,"[2, 1407, 4206, 3]","[2, 1408, 5330, 4206, 3]"
기분 좋다,아 기분이 좋다,"[2, 1282, 4206, 3]","[2, 3093, 1282, 7096, 4206, 3]"
요즘 남자 얼굴 좋다,요즘 남자 얼굴이 좋아보인다,"[2, 3489, 1423, 3251, 4206, 3]","[2, 3489, 1423, 3251, 7096, 4207, 6364, 7119, 5782, 3]"
지금 그녀 건강 너무 좋다,현재 그녀의 건강은 매우 좋아졌다,"[2, 4299, 1190, 882, 1458, 4206, 3]","[2, 5064, 1190, 7095, 882, 7086, 1995, 4207, 7250, 3]"
나쁘다,나쁘다,"[2, 1370, 6488, 5782, 3]","[2, 1370, 6488, 5782, 3]"
거짓말 나쁘다,거짓말은 나쁘다,"[2, 876, 1370, 6488, 5782, 3]","[2, 876, 7086, 1370, 6488, 5782, 3]"
기분 나쁘다,기분나빠,"[2, 1282, 1370, 6488, 5782, 3]","[2, 1282, 5655, 6459, 3]"
나쁘다 버릇 치료하다,나쁜 버릇을 고치다,"[2, 1370, 6488, 5782, 2302, 6119, 4619, 7798, 3]","[2, 1380, 2302, 6119, 7088, 993, 7483, 5782, 3]"
담배 몸 나쁘다,담배는 건강에 나쁘다,"[2, 1611, 2084, 1370, 6488, 5782, 3]","[2, 1611, 5760, 882, 6896, 1370, 6488, 5782, 3]"
점수 나쁘다 우울하다,성적이 나빠서 우울하다,"[2, 4077, 1370, 6488, 5782, 3498, 7013, 7798, 3]","[2, 2795, 7096, 1370, 6459, 6553, 3498, 7013, 7798, 3]"
계시다,계시다,"[2, 980, 6705, 5782, 3]","[2, 980, 6705, 5782, 3]"
점수 나쁘다 우울하다,선생님이 계신 줄도 모르고 떠들었다,"[2, 4077, 1370, 6488, 5782, 3498, 7013, 7798, 3]","[2, 2752, 7096, 980, 6733, 4252, 5859, 2049, 5439, 1852, 5931, 6888, 3]"
아버지 쉬다 날 때문에 집 계시다,아버지께서 공휴일이라 집에 계신다,"[2, 3112, 2923, 5782, 1407, 1849, 4384, 980, 6705, 5782, 3]","[2, 3112, 5612, 1023, 7982, 7126, 7101, 4384, 6896, 980, 6733, 5782, 3]"
저기 방 부모님 계시다 ?,지금 방에 부모님이 계셔?,"[2, 3990, 5561, 2267, 2434, 980, 6705, 5782, 633, 3]","[2, 4299, 2267, 6896, 2434, 7096, 980, 6601, 258, 3]"
집 계시다 누구 ?,집에 누구 계셔?,"[2, 4384, 980, 6705, 5782, 1528, 633, 3]","[2, 4384, 6896, 1528, 980, 6601, 258, 3]"
집 가다 엄마 계시다 아니다,집에 와보니 엄마가 안 계셨다,"[2, 4384, 517, 5330, 5782, 3257, 980, 6705, 5782, 3100, 3]","[2, 4384, 6896, 517, 6983, 6370, 3257, 5330, 3135, 980, 6604, 5782, 3]"
듣다,듣다,"[2, 1799, 5782, 3]","[2, 1799, 5782, 3]"
나 말 듣다 제발,내 말 좀 들어봐,"[2, 1370, 1958, 1799, 5782, 4128, 6295, 3]","[2, 1434, 1958, 4196, 1804, 6393, 3]"
엄마 잔소리 듣다 짜증,엄마한테 잔소리를 들었더니 짜증나,"[2, 3257, 3941, 6609, 1799, 5782, 4396, 7316, 3]","[2, 3257, 7835, 3941, 6609, 6116, 1801, 6885, 5838, 4396, 7316, 5655, 3]"
나 말 듣다 아니다 왜 ?,왜 내 말을 듣지 않아?,"[2, 1370, 1958, 1799, 5782, 3100, 3466, 633, 3]","[2, 3466, 1434, 1962, 1799, 7318, 3155, 258, 3]"
음악 듣다 중에,음악을 듣고 있어,"[2, 3610, 1799, 5782, 4257, 6896, 3]","[2, 3610, 7088, 1800, 3868, 3]"
칭찬 듣다 기분 좋다,칭찬을 들었더니 기분이 좋다,"[2, 4634, 1799, 5782, 1282, 4206, 3]","[2, 4634, 7088, 1801, 6885, 5838, 1282, 7096, 4206, 3]"
하다,하다,"[2, 4932, 3]","[2, 4932, 3]"
저기 일 하다 싫다,그 일은 하기 싫어,"[2, 3990, 5561, 3803, 4932, 517, 6744, 5782, 3]","[2, 1185, 3803, 7086, 4927, 3059, 3]"
반 안 일등 하다,반에서 일등을 하다,"[2, 2207, 3135, 3803, 5944, 4932, 3]","[2, 2207, 6903, 3803, 5944, 7088, 4932, 3]"
반지 하다 원하다 돈 얼마 ?,반지를 하고 싶은데 가격이 얼마나 되나요?,"[2, 2207, 7318, 4932, 3533, 7798, 1730, 3252, 633, 3]","[2, 2207, 7329, 4926, 3075, 5850, 730, 3253, 1763, 5655, 6999, 258, 3]"
미래 무엇 하다 ?,이따 뭐할까?,"[2, 2155, 2095, 6884, 4932, 633, 3]","[2, 3647, 5959, 2145, 7836, 5591, 258, 3]"
철수 오늘 학교 장소 1등 하다,철수는 이번에 학교에서 일등을 했다,"[2, 4473, 6629, 3419, 4949, 3962, 529, 5944, 4932, 3]","[2, 4473, 6631, 3698, 4949, 6903, 3803, 5944, 7088, 5019, 3]"
가지다,가지다,"[2, 767, 5782, 3]","[2, 767, 5782, 3]"
남동생 공 가지다 학교 장소 가다,남동생이 공을 가지고 학교에 갔다,"[2, 1409, 5872, 6542, 1023, 767, 5782, 4949, 3962, 517, 5330, 5782, 3]","[2, 1409, 5872, 6542, 7096, 1023, 7088, 768, 4949, 6896, 517, 5349, 3]"
마음에들다 있다 가지다 되다,마음에 드는거 있으면 하나 가져도 돼,"[2, 1917, 6896, 5931, 5782, 3862, 767, 5782, 1763, 5782, 3]","[2, 1917, 6896, 517, 5921, 5377, 3879, 4928, 763, 5859, 1761, 3]"
저기 나 가지다 괜찮다 ?,이거 내가 가져도 될까?,"[2, 3990, 5561, 1370, 767, 5782, 1100, 5782, 633, 3]","[2, 3647, 5377, 1435, 763, 5859, 1772, 5591, 258, 3]"
저기 너 가지다,이거 너 가져,"[2, 3990, 5561, 1457, 767, 5782, 3]","[2, 3647, 5377, 1457, 763, 3]"
놀다 물건 가지다 놀다,장난감을 가지고 놀다,"[2, 1504, 5782, 2137, 767, 5782, 1504, 5782, 3]","[2, 3958, 5344, 768, 1504, 5782, 3]"
배고프다,배고프다,"[2, 2287, 5439, 7753, 5782, 3]","[2, 2287, 5439, 7753, 5782, 3]"
너무 배고프다,너무 배고파,"[2, 1458, 2287, 5439, 7753, 5782, 3]","[2, 1458, 2287, 5439, 7682, 3]"
배고프다 힘 없다,배고파서 힘이 없다,"[2, 2287, 5439, 7753, 5782, 5211, 3273, 3]","[2, 2287, 5439, 7682, 6553, 5211, 7096, 3273, 3]"
배고프다 밥 주다,배고파요 밥주세요,"[2, 2287, 5439, 7753, 5782, 2266, 4213, 5782, 3]","[2, 2287, 5439, 7682, 6999, 2266, 7282, 3]"
배고프다 먹다 무엇 ?,배고픈데 뭐 먹을까?,"[2, 2287, 5439, 7753, 5782, 2010, 5782, 2095, 6884, 633, 3]","[2, 2287, 5439, 7760, 5850, 2145, 2010, 7088, 5591, 258, 3]"
