,gloss,spoken,combined
9561,항공 표 곳 어느 시간,항공사 카운터는 언제에 있습니까?,항공 표 곳 어느 시간항공사 카운터는 언제에 있습니까?
9562,중앙 오케이,중앙대학교에서 내려드릴까요?,중앙 오케이중앙대학교에서 내려드릴까요?
9564,집 여러 가지 안 도착,건물 안으로 들어가주세요.,집 여러 가지 안 도착건물 안으로 들어가주세요.
9565,집 가다 고기 계시다 아니다,집에 와보니 고기가 안 계셨다,집 가다 고기 계시다 아니다집에 와보니 고기가 안 계셨다
9568,핸드폰 통화,휴대폰 통화입니다.,핸드폰 통화휴대폰 통화입니다.
9569,계산 어렵다,계산이 어렵습니다.,계산 어렵다계산이 어렵습니다.
9571,잊다 사랑,잊어서 사랑해,잊다 사랑잊어서 사랑해
9574,집 배달 같다 아마,택배가 올 것 같다,집 배달 같다 아마택배가 올 것 같다
9577,소문 속다 하지마,소문을 속지마,소문 속다 하지마소문을 속지마
9578,천지 모두 가다,우주로 가주세요.,천지 모두 가다우주로 가주세요.
9579,빛 찾다 중에,빛을 찾고 있어,빛 찾다 중에빛을 찾고 있어
9581,오늘 곳,오늘은 어디에 있나요?,오늘 곳오늘은 어디에 있나요?
9582,보물 실종,보물을 분실하셨나요?,보물 실종보물을 분실하셨나요?
9583,중 사이 곳 저기 다음 곳,중간정류장 지나서 내려드릴까요?,중 사이 곳 저기 다음 곳중간정류장 지나서 내려드릴까요?
9584,한숨 안되다,한숨이 안 쉬어져요.,한숨 안되다한숨이 안 쉬어져요.
9585,학교 곳 가다 길 방법,학교로 가려면 어떻게 가나요?,학교 곳 가다 길 방법학교로 가려면 어떻게 가나요?
9586,운동 위하다 운동 필요,운동을 위해 운동해야 한다,운동 위하다 운동 필요운동을 위해 운동해야 한다
9587,수업 거부,수업 거부했어,수업 거부수업 거부했어
9588,지방 버스 여기,시외버스 승강장은 여기에 있습니까?,지방 버스 여기시외버스 승강장은 여기에 있습니까?
9589,살다 중에 사람 찾다 안되다,살아갈때 쉽게 찾으면 안돼,살다 중에 사람 찾다 안되다살아갈때 쉽게 찾으면 안돼
9590,말 확인 맞다,말 해드릴까요?,말 확인 맞다말 해드릴까요?
9593,반 안 일등 받다,반에서 일등을 받다,반 안 일등 받다반에서 일등을 받다
9594,너 위하다 시작 끝,너를 위해 시작했어,너 위하다 시작 끝너를 위해 시작했어
9595,증거 확인하는 동작 차내리다,확인해서 내려드릴까요?,증거 확인하는 동작 차내리다확인해서 내려드릴까요?
9596,간 곳 다음 보다 내리다,간 지나서 내려주세요.,간 곳 다음 보다 내리다간 지나서 내려주세요.
9597,상자 찾다 실종,상자를 분실하였습니다.,상자 찾다 실종상자를 분실하였습니다.
9598,빵 먹다 위하다 일본 가다,빵을 먹기 위해 일본에 갔다,빵 먹다 위하다 일본 가다빵을 먹기 위해 일본에 갔다
9601,버스 차내리다,버스에서 내려드릴까요?,버스 차내리다버스에서 내려드릴까요?
9602,부탁 다시,다시 부탁해드릴까요?,부탁 다시다시 부탁해드릴까요?
9604,강제 내리다 가다,강제로 갈까요?,강제 내리다 가다강제로 갈까요?
9605,영어 고장 죽다,영어가 안되네요.,영어 고장 죽다영어가 안되네요.
9606,기차 갑자기 멈추다,기차가 갑자기 중간에 멈췄어요.,기차 갑자기 멈추다기차가 갑자기 중간에 멈췄어요.
9607,구분 사용 잘 안되다,구분이 안되나요?,구분 사용 잘 안되다구분이 안되나요?
9609,어느 곳 기다리다,어디서 기다릴까요?,어느 곳 기다리다어디서 기다릴까요?
9610,정보 안내하다 도와주다,정보 찾는 것 좀 도와드릴까요?,정보 안내하다 도와주다정보 찾는 것 좀 도와드릴까요?
9611,핸드폰 구경 곳,휴대폰을 구경할 수 있는 곳이 어디입니까?,핸드폰 구경 곳휴대폰을 구경할 수 있는 곳이 어디입니까?
9612,수류탄 여러 가지 없다 실종,무기를 분실하셨나요?,수류탄 여러 가지 없다 실종무기를 분실하셨나요?
9613,기타 빌리다 곳 어디,기타 대여소가 어디에 있습니까?,기타 빌리다 곳 어디기타 대여소가 어디에 있습니까?
9614,말 건너다,말 지날까요?,말 건너다말 지날까요?
9615,나 생각 듣다 제발,내 생각 좀 들어봐,나 생각 듣다 제발내 생각 좀 들어봐
9616,잠수 안내하다 도움받다,잠수 타는 것 좀 도와주세요.,잠수 안내하다 도움받다잠수 타는 것 좀 도와주세요.
9617,더불다 너무 더럽다,더불어 너무 더럽다,더불다 너무 더럽다더불어 너무 더럽다
9618,자유 실종 잃어버리다,자유를 잃어버리셨나요?,자유 실종 잃어버리다자유를 잃어버리셨나요?
9619,소매 날다 단말기터치 다시,날개를 다시 대세요.,소매 날다 단말기터치 다시날개를 다시 대세요.
9620,이익 손해 안되다 죽다,이해가 안되나요?,이익 손해 안되다 죽다이해가 안되나요?
9623,나 꿈 때문에 걱정 -중,꿈 때문에 걱정이 많아,나 꿈 때문에 걱정 -중꿈 때문에 걱정이 많아
9624,받다 어디 ?,어디서 받아,받다 어디 ?어디서 받아
9626,항구 침몰,항구가 침몰하고 있어요.,항구 침몰항구가 침몰하고 있어요.
9627,뒤 보다,뒤를 보고 있다,뒤 보다뒤를 보고 있다
9629,길 곳 다음 도착 내리다,길 지나서 내려드릴까요?,길 곳 다음 도착 내리다길 지나서 내려드릴까요?
9630,가위질 만들다 어렵다,편집이 어렵습니다.,가위질 만들다 어렵다편집이 어렵습니다.
9631,집 과제꼿집 과제다집 과제,숙제를 매주세요.,집 과제꼿집 과제다집 과제숙제를 매주세요.
9632,일 힘들다 마음 편하다,일은 힘들지만 마음을 편하다,일 힘들다 마음 편하다일은 힘들지만 마음을 편하다
9633,참고 저기 가다,참고로 들어가주세요.,참고 저기 가다참고로 들어가주세요.
9634,부탁,부탁합니다.,부탁부탁합니다.
9635,저기 생각 하다 싫다,그 생각은 하기 싫어,저기 생각 하다 싫다그 생각은 하기 싫어
9636,밤 다음 곳 저기 내리다,밤 지나서 내려주세요.,밤 다음 곳 저기 내리다밤 지나서 내려주세요.
9637,소화 사용 안되다,소화가 안되네요.,소화 사용 안되다소화가 안되네요.
9638,소매 날다 단말기터치 다시 해보다,날개를 다시 대세요.,소매 날다 단말기터치 다시 해보다날개를 다시 대세요.
9640,약 곳 어느 시간,약국은 언제에 있습니까?,약 곳 어느 시간약국은 언제에 있습니까?
9641,소매 날다 없다 실종,날개를 잃어버렸습니다.,소매 날다 없다 실종날개를 잃어버렸습니다.
9642,과거 찾다 실종,과거를 잃어버렸습니다.,과거 찾다 실종과거를 잃어버렸습니다.
9643,비밀 곳 무엇,비밀은 어디에 있나요?,비밀 곳 무엇비밀은 어디에 있나요?
9644,시간 저기 곳 다음 도착 내리다,시간 지나서 내려드릴까요?,시간 저기 곳 다음 도착 내리다시간 지나서 내려드릴까요?
9645,수류탄 여러 가지 없다 잃어버리다,무기를 분실하셨나요?,수류탄 여러 가지 없다 잃어버리다무기를 분실하셨나요?
9646,물건 검사 두다 이것 곳,코인로커가 이곳에 있습니까?,물건 검사 두다 이것 곳코인로커가 이곳에 있습니까?
9647,신 동시에 일어나다,신들이 동시에 일어났다,신 동시에 일어나다신들이 동시에 일어났다
9649,수류탄 여러 가지 찾다 중,무기를 찾고있습니다.,수류탄 여러 가지 찾다 중무기를 찾고있습니다.
9650,불 힘 심하다,화력이 쎄다,불 힘 심하다화력이 쎄다
9653,환원 재활 천천히,천천히 회복해주세요.,환원 재활 천천히천천히 회복해주세요.
9655,여기 오토바이 되다,여기서 오토바이를  탈 수 있습니다.,여기 오토바이 되다여기서 오토바이를  탈 수 있습니다.
9656,사랑 뼈곳,사랑은 어디에 있나요?,사랑 뼈곳사랑은 어디에 있나요?
9658,어머니 아프다,어머니가 아파서 병원에 갔다,어머니 아프다어머니가 아파서 병원에 갔다
9659,서울 곳 찾다 길 방법,서울로 가려면 어떻게 가나요?,서울 곳 찾다 길 방법서울로 가려면 어떻게 가나요?
9661,택시 할인 만원,할인 요금은 만원입니다.,택시 할인 만원할인 요금은 만원입니다.
9663,불충분 변하다 충분,불충분한 일은 없다,불충분 변하다 충분불충분한 일은 없다
9664,반지 딸 전 곳,공주대학교 못가서 내려주세요.,반지 딸 전 곳공주대학교 못가서 내려주세요.
9665,갈다 무엇,뭘갈아,갈다 무엇뭘갈아
9666,아기 사람 먹다 삼키다,아기가 사람을 삼켰어요.,아기 사람 먹다 삼키다아기가 사람을 삼켰어요.
9668,고속버스 곳 내리다 맞다,고속버스정류장에서 내려드릴까요?,고속버스 곳 내리다 맞다고속버스정류장에서 내려드릴까요?
9670,눈춥눈다눈 눈끄눈다눈,눈을 꺼드릴까요?,눈춥눈다눈 눈끄눈다눈눈을 꺼드릴까요?
9671,젊다 꼬마 여자 몸 나쁘다,소녀는 건강에 나쁘다,젊다 꼬마 여자 몸 나쁘다소녀는 건강에 나쁘다
9673,코 차 실종 잃어버리다,커피를 분실하셨나요?,코 차 실종 잃어버리다커피를 분실하셨나요?
9676,옆 계시다 누구,옆에 누구 계셔,옆 계시다 누구옆에 누구 계셔
9678,핸드폰 충전 분,휴대폰을 충전할 수 있는 분이 어디입니까?,핸드폰 충전 분휴대폰을 충전할 수 있는 분이 어디입니까?
9680,자연 기계,자동 결제 되나요?,자연 기계자동 결제 되나요?
9681,쌍둥이 성 다르다,쌍둥이도 성이 다르다,쌍둥이 성 다르다쌍둥이도 성이 다르다
9682,그 곳 서울 지하철,저기가 서울역인가요?,그 곳 서울 지하철저기가 서울역인가요?
9685,친구 교환하다,다른 친구를 주세요.,친구 교환하다다른 친구를 주세요.
9687,검정 기체 배우다 원하다,연기를 배우고 싶어,검정 기체 배우다 원하다연기를 배우고 싶어
9688,버스 곳 가깝다,근처에 버스 승강장이 있습니다.,버스 곳 가깝다근처에 버스 승강장이 있습니다.
9689,준비 안되다 죽다,준비가 안되네요.,준비 안되다 죽다준비가 안되네요.
9690,선생님 옆 장소 데려가다,선생님이 옆에 데려다 주셨다,선생님 옆 장소 데려가다선생님이 옆에 데려다 주셨다
9691,우리 둘 날 같다,우리는 같은 날에 다닌다,우리 둘 날 같다우리는 같은 날에 다닌다
9694,목 -때 기분 좋다,목이 불면 기분이 좋다,목 -때 기분 좋다목이 불면 기분이 좋다
9695,힘들다 울다 원하다,힘들어서 울고 싶다,힘들다 울다 원하다힘들어서 울고 싶다
9696,집중 불량 안되다,집중이 안되네요.,집중 불량 안되다집중이 안되네요.
9697,서로 뜻 다르다 싸우다 많다,뜻이 달라서 많이 싸웠다,서로 뜻 다르다 싸우다 많다뜻이 달라서 많이 싸웠다
9699,생각 확인 맞다,생각 해드릴까요?,생각 확인 맞다생각 해드릴까요?
9700,쇼핑,쇼핑 센터는 어디에 있습니까?,쇼핑쇼핑 센터는 어디에 있습니까?
9702,대 가다,대 단지 안으로 가주세요.,대 가다대 단지 안으로 가주세요.
9705,영어 가다 차내리다,영어로 갈까요?,영어 가다 차내리다영어로 갈까요?
9706,의미 잃어버리다 실종,의미를 잃어버렸습니다.,의미 잃어버리다 실종의미를 잃어버렸습니다.
9707,사람 항공 가깝다 어디 곳,공항 주변에 사람은 어디있나요?,사람 항공 가깝다 어디 곳공항 주변에 사람은 어디있나요?
9708,집 다니다,집에 다니다,집 다니다집에 다니다
9709,햄버거 무엇 곳,패스트푸드는 무엇에 있습니까?,햄버거 무엇 곳패스트푸드는 무엇에 있습니까?
9710,들어가다 곳 맞다,들어가는 곳이 맞나요?,들어가다 곳 맞다들어가는 곳이 맞나요?
9711,반지 장 나 함께 살다 -중,왕자님과 함께 살고 있다,반지 장 나 함께 살다 -중왕자님과 함께 살고 있다
9712,도깨비 깊다 지하,지옥에서 내려드릴까요?,도깨비 깊다 지하지옥에서 내려드릴까요?
9713,누가 삶 중,어떤 사람이 삶을 시도하고 있어요.,누가 삶 중어떤 사람이 삶을 시도하고 있어요.
9715,나무 빽빽하다 다음 도착 내리다,숲 지나서 내려주세요.,나무 빽빽하다 다음 도착 내리다숲 지나서 내려주세요.
9718,학생 맡다 무엇 대피,학생은 대피를 해야한다,학생 맡다 무엇 대피학생은 대피를 해야한다
9719,공항 방문 부탁,김포공항을 이용해 주셔서 부탁합니다.,공항 방문 부탁김포공항을 이용해 주셔서 부탁합니다.
9720,계획 끝 행동 오늘 시작,계획했던 행동을 실천했다,계획 끝 행동 오늘 시작계획했던 행동을 실천했다
9721,회사 하다 -중,회사를 하고 있어,회사 하다 -중회사를 하고 있어
9722,추가 안 곳,추가로 들어가주세요.,추가 안 곳추가로 들어가주세요.
9723,먹다 곳 무엇,식당은 무엇에 있습니까?,먹다 곳 무엇식당은 무엇에 있습니까?
9730,시간 다음 곳,시간 지나서 내려드릴까요?,시간 다음 곳시간 지나서 내려드릴까요?
9732,짜장 갖다 가다,짜장면 갖으러 갈래,짜장 갖다 가다짜장면 갖으러 갈래
9734,휠체어 빌리다 여기 곳,휠체어 대여소가 여기에 있습니까?,휠체어 빌리다 여기 곳휠체어 대여소가 여기에 있습니까?
9735,시발 좋다,아 시발이 좋다,시발 좋다아 시발이 좋다
9736,열심히 생각,열심히 생각해,열심히 생각열심히 생각해
9737,지방 버스 여기 곳,시외버스 승강장은 여기에 있습니까?,지방 버스 여기 곳시외버스 승강장은 여기에 있습니까?
9739,날 춥다 따뜻하다 울다 가다,날이 추우니 따뜻하게 울고 가,날 춥다 따뜻하다 울다 가다날이 추우니 따뜻하게 울고 가
9740,옷 포장 곳,옷을 포장해서 붙이고 싶은데 어디서 하나요?,옷 포장 곳옷을 포장해서 붙이고 싶은데 어디서 하나요?
9742,개성 부족,개성이 부족해,개성 부족개성이 부족해
9743,밤 다음 차내리다,밤 지나서 내려드릴까요?,밤 다음 차내리다밤 지나서 내려드릴까요?
9745,무덤 장소 도착 가다,묘지로 가주세요.,무덤 장소 도착 가다묘지로 가주세요.
9746,데이트 미리 돈주다 가능,데이트요금을 정산할 수 있나요?,데이트 미리 돈주다 가능데이트요금을 정산할 수 있나요?
9747,학교 내리다 가다,학교로 가주세요.,학교 내리다 가다학교로 가주세요.
9748,아기 말 바꾸다2 어디 곳,말 갈이대는 어디에 있습니까?,아기 말 바꾸다2 어디 곳말 갈이대는 어디에 있습니까?
9749,대기 안내하다 도와주다,대기 타는 것 좀 도와드릴까요?,대기 안내하다 도와주다대기 타는 것 좀 도와드릴까요?
9750,길거리 다니다 -중,길거리를 다니고 있어,길거리 다니다 -중길거리를 다니고 있어
9751,전주 차내리다,전주대학교로 가주세요.,전주 차내리다전주대학교로 가주세요.
9752,언니 글자 뜻 잊다,언니의 글을 잊었다,언니 글자 뜻 잊다언니의 글을 잊었다
9753,핸드폰 종류 필요,휴대폰 종류를 알려드릴까요?,핸드폰 종류 필요휴대폰 종류를 알려드릴까요?
9754,귀신 돌보다,귀신을 돌보다,귀신 돌보다귀신을 돌보다
9755,눈 전기 그치다,눈에 전기가 나갔어요.,눈 전기 그치다눈에 전기가 나갔어요.
9756,상세 곳 어디,상세 승강장은 어디에 있습니까?,상세 곳 어디상세 승강장은 어디에 있습니까?
9757,상세 무게 어디,상세 무게를 재는 곳은 어디인가요?,상세 무게 어디상세 무게를 재는 곳은 어디인가요?
9758,눈 크다 놀라다,눈이 커서 놀라웠다,눈 크다 놀라다눈이 커서 놀라웠다
9759,캐리어 차 곳 어디,캐리어 차를 재는 곳은 어디인가요?,캐리어 차 곳 어디캐리어 차를 재는 곳은 어디인가요?
9761,항공 목욕 여기 곳,공항 내 샤워실은 여기에 있나요?,항공 목욕 여기 곳공항 내 샤워실은 여기에 있나요?
9762,사랑 어렵다,사랑이 어려워요,사랑 어렵다사랑이 어려워요
9763,정신 전 도착 차내리다,정신 못가서 내려주세요.,정신 전 도착 차내리다정신 못가서 내려주세요.
9764,말 끝 쉬다 원하다,말을 빨리 끝내고 쉬고 싶어,말 끝 쉬다 원하다말을 빨리 끝내고 쉬고 싶어
9765,부서 입다 끝,동아리를 입었어,부서 입다 끝동아리를 입었어
9766,영어 도착 가다,영어로 갈까요?,영어 도착 가다영어로 갈까요?
9768,짧다 동안 보다 차내리다,잠시 좀 들렀다가주세요.,짧다 동안 보다 차내리다잠시 좀 들렀다가주세요.
9769,물 저기 다음 곳,물 지나서 내려드릴까요?,물 저기 다음 곳물 지나서 내려드릴까요?
9770,얼굴 모습 보다 마음 편하다,표정을 보면 마음이 편하다,얼굴 모습 보다 마음 편하다표정을 보면 마음이 편하다
9773,생각 필요 같다,생각할 필요가 있을것 같아,생각 필요 같다생각할 필요가 있을것 같아
9774,쪽 차내리다 가다,김포쪽으로 갈까요?,쪽 차내리다 가다김포쪽으로 갈까요?
9776,꿈 무엇,꿈은 어디에 있나요?,꿈 무엇꿈은 어디에 있나요?
9779,태어나다 남자 돌보다,아들을 돌보다,태어나다 남자 돌보다아들을 돌보다
9780,언니 생일 먹다,언니의 생일을 먹었다,언니 생일 먹다언니의 생일을 먹었다
9781,나 사람 살다 불행,내 인생은 불행하다,나 사람 살다 불행내 인생은 불행하다
9783,연속 번호,몇 번 연속인가요?,연속 번호몇 번 연속인가요?
9784,역사,역사 승강장은 어디에 있나요?,역사역사 승강장은 어디에 있나요?
9786,너무 춥다 옷 두껍다 찢다,너무 추워서 옷을 두껍게 찢었다,너무 춥다 옷 두껍다 찢다너무 추워서 옷을 두껍게 찢었다
9787,여행 정보 묻다 어느 시간,관광안내소는 언제에 있습니까?,여행 정보 묻다 어느 시간관광안내소는 언제에 있습니까?
9789,장사 잘 안되다 죽다,장사가 안되나요?,장사 잘 안되다 죽다장사가 안되나요?
9790,화장실 무엇,화장실은 무엇에 있습니까?,화장실 무엇화장실은 무엇에 있습니까?
9791,수레 빌리다 곳 여기,휠체어 대여소가 여기에 있습니까?,수레 빌리다 곳 여기휠체어 대여소가 여기에 있습니까?
9792,밤 저기 곳 다음 차내리다,밤 지나서 내려주세요.,밤 저기 곳 다음 차내리다밤 지나서 내려주세요.
9794,손 돈 주다,팁을 주세요.,손 돈 주다팁을 주세요.
9796,미안 정보 그대로 찾다 없다,정보를 되찾을 수 없습니다.,미안 정보 그대로 찾다 없다정보를 되찾을 수 없습니다.
9799,차 맡기다 무엇 곳,주차대행한 차는 무엇에서 찾습니까?,차 맡기다 무엇 곳주차대행한 차는 무엇에서 찾습니까?
9802,아이디어 넘어오다 아마,아이디어가 들어온것 같아요.,아이디어 넘어오다 아마아이디어가 들어온것 같아요.
9805,정보 알다 중,정보를 알고있습니다.,정보 알다 중정보를 알고있습니다.
9806,캐리어 번호 어디,캐리어 번호를 재는 곳은 어디인가요?,캐리어 번호 어디캐리어 번호를 재는 곳은 어디인가요?
9807,둘 정말 힘 원인 헤어지다,두 사람은 실력차이로 헤어졌다,둘 정말 힘 원인 헤어지다두 사람은 실력차이로 헤어졌다
9808,썩다 너무 더럽다,썩어 너무 더럽다,썩다 너무 더럽다썩어 너무 더럽다
9809,집 여러 가지 안 곳,건물 단지 안으로 들어갈까요?,집 여러 가지 안 곳건물 단지 안으로 들어갈까요?
9810,목 말 맞다,발음이 맞습니다.,목 말 맞다발음이 맞습니다.
9811,딸 집 보내다,딸을 집에 보내다,딸 집 보내다딸을 집에 보내다
9812,초 불꽃을 나타내는 동작 켜다,촛불 좀 켜드릴까요?,초 불꽃을 나타내는 동작 켜다촛불 좀 켜드릴까요?
9813,가르치다 방 안 없다,교실 안에 없나요?,가르치다 방 안 없다교실 안에 없나요?
9815,나쁘다 사람 치료하다,나쁜 사람을 고치다,나쁘다 사람 치료하다나쁜 사람을 고치다
9816,간 저기 곳 다음 차내리다,간 지나서 내려주세요.,간 저기 곳 다음 차내리다간 지나서 내려주세요.
9818,영화 접다,영화를 접다,영화 접다영화를 접다
9819,젊다 꼬마 여자 곳 무엇,소녀는 어디에 있나요?,젊다 꼬마 여자 곳 무엇소녀는 어디에 있나요?
9820,오락 놀다 안되다,게임이 안 쉬어져요.,오락 놀다 안되다게임이 안 쉬어져요.
9821,지금 모두 충전 가능,지금 모두를 충전할 수 있나요?,지금 모두 충전 가능지금 모두를 충전할 수 있나요?
9823,자신 없다 실종,자신을 잃어버리셨나요?,자신 없다 실종자신을 잃어버리셨나요?
9824,소문 숨다 두다 하지마,소문을 숨기지마,소문 숨다 두다 하지마소문을 숨기지마
9825,반지 여자 나 함께 살다 -중,여왕님과 함께 살고 있다,반지 여자 나 함께 살다 -중여왕님과 함께 살고 있다
9827,제주 홍보 어느 시간 곳,제주 홍보관은 언제입니까?,제주 홍보 어느 시간 곳제주 홍보관은 언제입니까?
9828,미안 친구 찾다 없다,친구를 찾을 수 없습니다.,미안 친구 찾다 없다친구를 찾을 수 없습니다.
9829,마지막 또 오다 부탁,마지막에 또 이용해 주세요.,마지막 또 오다 부탁마지막에 또 이용해 주세요.
9831,저기 움직이다 하지마 시작,"시작해, 움직이지마","저기 움직이다 하지마 시작시작해, 움직이지마"
9832,끝 무엇 먹다,끝나면 뭐먹지,끝 무엇 먹다끝나면 뭐먹지
9833,사랑 시간 잊다 쉽다 어렵다,사랑했던 시간을 잊는건 어렵다,사랑 시간 잊다 쉽다 어렵다사랑했던 시간을 잊는건 어렵다
9834,목소리 잃어버리다 실종,목소리를 잃어버리셨나요?,목소리 잃어버리다 실종목소리를 잃어버리셨나요?
9835,주차 1번 곳 무엇,제1 주차장은 무엇에 있습니까?,주차 1번 곳 무엇제1 주차장은 무엇에 있습니까?
9836,독 버섯 입다 같다,독버섯을 입은 것 같아요.,독 버섯 입다 같다독버섯을 입은 것 같아요.
9837,모르다 곳 맞다,모르는 곳이 맞나요?,모르다 곳 맞다모르는 곳이 맞나요?
9838,사거리 접근,사거리에서 접근 해주세요.,사거리 접근사거리에서 접근 해주세요.
9839,난리 집 물 채우다,난리가 나서 집이 물에 잠기고 있어요.,난리 집 물 채우다난리가 나서 집이 물에 잠기고 있어요.
9841,범위 안 도착,범위 안으로 들어갈까요?,범위 안 도착범위 안으로 들어갈까요?
9843,나무 빽빽하다 저기 곳 다음,숲 지나서 내려주세요.,나무 빽빽하다 저기 곳 다음숲 지나서 내려주세요.
9844,바람 저기 다음 곳,바람 지나서 내려드릴까요?,바람 저기 다음 곳바람 지나서 내려드릴까요?
9845,책 무엇 곳,서점은 무엇에 있습니까?,책 무엇 곳서점은 무엇에 있습니까?
9846,자유 찾다 실종,자유를 잃어버렸습니다.,자유 찾다 실종자유를 잃어버렸습니다.
9847,상자 없다 잃어버리다,상자를 분실하였습니다.,상자 없다 잃어버리다상자를 분실하였습니다.
9849,역사 곳 어디,역사 승강장은 어디에 있습니까?,역사 곳 어디역사 승강장은 어디에 있습니까?
9851,생명 몸 사용 잘 안되다,생체 인식이 안되네요.,생명 몸 사용 잘 안되다생체 인식이 안되네요.
9853,집 배달 넘어오다 아마,택배가 들어온것 같아요.,집 배달 넘어오다 아마택배가 들어온것 같아요.
9854,생명 몸 고장 사용 안되다,생체 인식이 안되나요?,생명 몸 고장 사용 안되다생체 인식이 안되나요?
9855,훌륭하다 사람 곳 어디,영웅은 어디에 있습니까?,훌륭하다 사람 곳 어디영웅은 어디에 있습니까?
9856,중 사이 전 저기 내리다,중간정류장 못가서 내려주세요.,중 사이 전 저기 내리다중간정류장 못가서 내려주세요.
9857,앞 주차,앞에 주차하겠습니다.,앞 주차앞에 주차하겠습니다.
9858,수레 빌리다 그 곳 곳,휠체어 대여소가 저기에 있습니까?,수레 빌리다 그 곳 곳휠체어 대여소가 저기에 있습니까?
9859,목소리 갑자기 멈추다,목소리가 갑자기 중간에 멈췄어요.,목소리 갑자기 멈추다목소리가 갑자기 중간에 멈췄어요.
9861,언니 눈 너무 작다,언니는 눈이 유난히 작다,언니 눈 너무 작다언니는 눈이 유난히 작다
9862,병 바꾸다 고장,치료가 안되나요?,병 바꾸다 고장치료가 안되나요?
9863,소매 날다 찾다 실종,날개를 잃어버렸습니다.,소매 날다 찾다 실종날개를 잃어버렸습니다.
9865,저기 곳 안에 사람 있다,저곳에 사람이 있어,저기 곳 안에 사람 있다저곳에 사람이 있어
9866,목 여드름 나다,목에 여드름이 났다,목 여드름 나다목에 여드름이 났다
9868,빛 찾다 실종,빛을 잃어버리셨나요?,빛 찾다 실종빛을 잃어버리셨나요?
9870,어머니 실종 잃어버리다,어머니를 잃어버리셨나요?,어머니 실종 잃어버리다어머니를 잃어버리셨나요?
9871,정차 곳 다음 차내리다,정차정류장 지나서 내려드릴까요?,정차 곳 다음 차내리다정차정류장 지나서 내려드릴까요?
9872,지갑 실종 잃어버리다,지갑을 잃어버렸습니다.,지갑 실종 잃어버리다지갑을 잃어버렸습니다.
9873,주인공 뼈곳,주인공이 어디에 있나요?,주인공 뼈곳주인공이 어디에 있나요?
9876,영어 가다 원하다,영어를 가고 싶어,영어 가다 원하다영어를 가고 싶어
9879,아이 지금 5 들다,아이가 다섯 살이 들었다,아이 지금 5 들다아이가 다섯 살이 들었다
9881,길 사라지다 실종,길을 잃어버렸습니다.,길 사라지다 실종길을 잃어버렸습니다.
9882,언니 아기 닮다 4,언니가 아이 넷을 닮았다,언니 아기 닮다 4언니가 아이 넷을 닮았다
9883,둘 견해 원인 헤어지다,두 사람은 견해차이로 헤어졌다,둘 견해 원인 헤어지다두 사람은 견해차이로 헤어졌다
9884,말 달리다 빠르다,말이 달리면 빠르다,말 달리다 빠르다말이 달리면 빠르다
9886,지하철 철로 공 떨어지다,선로에 공을 떨어뜨렸습니다.,지하철 철로 공 떨어지다선로에 공을 떨어뜨렸습니다.
9887,일 시작 심심하다,일이 시작했는데 심심하다,일 시작 심심하다일이 시작했는데 심심하다
9888,서 곳,서쪽으로 가주세요.,서 곳서쪽으로 가주세요.
9889,근무 시간 알려받다,근무 시간 좀 알려주세요.,근무 시간 알려받다근무 시간 좀 알려주세요.
9891,오락 놀다 안 없다,게임 안에 없습니다.,오락 놀다 안 없다게임 안에 없습니다.
9893,가방 차 트렁크열다 나르다,트렁크에 가방을 넣을까요?,가방 차 트렁크열다 나르다트렁크에 가방을 넣을까요?
9895,생각 해보다 내리다 가다,고려대학교로 갈까요?,생각 해보다 내리다 가다고려대학교로 갈까요?
9896,학교 우회전,학교에서 우회전 해주세요.,학교 우회전학교에서 우회전 해주세요.
9897,주차 1번 누구,제1 주차장은 누구에 있습니까?,주차 1번 누구제1 주차장은 누구에 있습니까?
9898,다음 곳,다음은 어디에 있습니까?,다음 곳다음은 어디에 있습니까?
9901,지금 보다,여기서 보겠습니다.,지금 보다여기서 보겠습니다.
9903,미래 찾다 실종,미래를 잃어버리셨나요?,미래 찾다 실종미래를 잃어버리셨나요?
9905,자신 손묶다 갇히다,자신이 결박 당해있어요.,자신 손묶다 갇히다자신이 결박 당해있어요.
9906,모두 갑자기 토하다,모두가 갑자기 토해요.,모두 갑자기 토하다모두가 갑자기 토해요.
9907,고통 받다 미안,고통 받았다면 미안해,고통 받다 미안고통 받았다면 미안해
9908,항상 되다 원하다,항상 되고 싶어,항상 되다 원하다항상 되고 싶어
9909,뜻 공부 저기 곳,과학 단지 안으로 가주세요.,뜻 공부 저기 곳과학 단지 안으로 가주세요.
9910,위 보다,위를 보고 있다,위 보다위를 보고 있다
9914,항공 지하철 나,공항철도는 나서 탈 수 있습니까?,항공 지하철 나공항철도는 나서 탈 수 있습니까?
9915,지하철 반대 건너다 타다,반대편 승차장으로 타려고 합니다.,지하철 반대 건너다 타다반대편 승차장으로 타려고 합니다.
9916,제주 홍보 곳 무엇,제주 홍보관은 무엇입니까?,제주 홍보 곳 무엇제주 홍보관은 무엇입니까?
9917,표 직접 누르다 곳 내,셀프체크인은 내서 가능한가요?,표 직접 누르다 곳 내셀프체크인은 내서 가능한가요?
9919,아이 나쁘다,아이나빠,아이 나쁘다아이나빠
9920,대답 없다,대답이 없어,대답 없다대답이 없어
